id,name,institution,department,departmentId,imageUrl,hIndex,i10Index,publications,citations,bio,researchInterests,domain,iitornit
indumathi_nambi,Indumathi Nambi,Indian Institute of Technology Madras,Indian Institute of Technology Madras,indian_institute_of_technology_madras,,37,86,0,4542,Professor at Indian Institute of Technology Madras specializing in Environmental Engineering.,"Environmental Engineering, Sustainable Development",Computer Science,iit
jagadeesh_gopalan,Jagadeesh Gopalan,Indian Institute of Science,"Professor of Aerospace Engineering, Indian Institute of Science","professor_of_aerospace_engineering,_indian_institute_of_science",,33,93,0,3639,Professor at Indian Institute of Science specializing in Aerospace Engineering.,"Aerospace Engineering, Fluid Dynamics",Mechanical Engineering,na
julius_paul_pradeep_john,Julius Paul Pradeep John,R&D,R&D,r&d,,12,15,0,612,Professor at R&D specializing in Materials Science.,"Materials Science, Nanotechnology",Mechanical Engineering,na
kamal_bijlani,kamal bijlani,Amrita Vishwa Vidyapeetham,cs,cs,,19,32,0,915,Professor at Amrita Vishwa Vidyapeetham specializing in Human-Computer Interaction.,"Human-Computer Interaction, Educational Technology",Other,na
kandaswamy_subramanian,Kandaswamy Subramanian,Inter University Centre for Astronomy and Astrophysics,physics,physics,,49,119,0,9744,Professor at Inter University Centre for Astronomy and Astrophysics specializing in Cosmic Magnetism.,"Cosmic Magnetism, Plasma Astrophysics",Physics,na
kannan_moudgalya,Kannan Moudgalya,IIT Bombay,"Professor, IIT Bombay","professor,_iit_bombay",,19,39,0,1444,Professor at IIT Bombay specializing in Process Control.,"Process Control, Optimization",Other,na
"kartik_subramanian,_ph.d.","Kartik Subramanian, Ph.D.",Bristol Myers Squibb,"Senior Principal Scientist, Bristol Myers Squibb","senior_principal_scientist,_bristol_myers_squibb",,14,15,0,892,Professor at Bristol Myers Squibb specializing in Drug Discovery.,"Drug Discovery, Oncology Research",Medical Sciences,na
rajeshkumar_l,Rajeshkumar L,Alliance University,"Alliance University, AU-STIC, CoE-AMS, Postdoc@KMUTNB, Thailand","alliance_university,_au-stic,_coe-ams,_postdoc@kmutnb,_thailand",,34,82,0,3835,Professor at Alliance University specializing in Advanced Materials Science.,"Advanced Materials Science, Sustainable Technologies",Computer Science,na
k._v._lalitha__(a.k.a_lalitha_kodumudi_venkataraman),K. V. Lalitha  (a.k.a Lalitha Kodumudi Venkataraman),Technische Universität Darmstadt,Technische Universität Darmstadt,technische_universität_darmstadt,,22,41,0,1550,Professor at Technische Universität Darmstadt specializing in Quantum Computing.,"Quantum Computing, Quantum Information Theory",Physics,na
madhavan_swaminathan,Madhavan Swaminathan,Penn State University,electrical,electrical,,54,333,0,13581,Professor at Penn State University specializing in Electrical Engineering.,"Electrical Engineering, Advanced Packaging Technologies",Electrical Engineering,na
mangala_srinivas,Mangala Srinivas,Wageningen University & Research,"Wageningen University & Research, Cenya Imaging BV, Young Academy of Europe. Previous: Radboud","wageningen_university_&_research,_cenya_imaging_bv,_young_academy_of_europe._previous:_radboud",,31,48,0,3885,Professor at Wageningen University & Research specializing in Biomedical Imaging.,"Biomedical Imaging, Nanotechnology",Medical Sciences,na
baskaran_mani,Baskaran Mani,Sankara Nethralaya,"Sankara Nethralaya, Chennai","sankara_nethralaya,_chennai",,62,182,0,15027,Professor at Sankara Nethralaya specializing in Ophthalmology.,"Ophthalmology, Retinal Diseases",Computer Science,na
meenakshisundaram_swaminathan,Meenakshisundaram Swaminathan,Annamalai University,"professor of chemistry, Annamalai university,visiting faculty, Kalasalingam university","professor_of_chemistry,_annamalai_university,visiting_faculty,_kalasalingam_university",,63,301,0,18679,Professor at Annamalai University specializing in Chemistry.,"Chemistry, Material Science",Computer Science,na
mohan_krishnamoorthy,Mohan Krishnamoorthy,RMIT University,RMIT University,rmit_university,,38,72,0,10785,Professor at RMIT University specializing in Operations Research.,"Operations Research, Supply Chain Management",Business Management,na
mousumi_saha,Mousumi Saha,Purdue University,"Graduate Student, Aston Labs by Prof R Graham Cooks, Department of Chemistry, Purdue University","graduate_student,_aston_labs_by_prof_r_graham_cooks,_department_of_chemistry,_purdue_university",,8,8,0,302,Professor at Purdue University specializing in Mass Spectrometry.,"Mass Spectrometry, Analytical Chemistry",Other,na
mukesh_doble,Mukesh Doble,Saveetha Dental College,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM","distinguished_prof,_saveetha_dental_college,_retd_prof_iitm",,71,264,0,20212,Professor at Saveetha Dental College specializing in Biomaterials.,"Biomaterials, Drug Delivery Systems",Other,na
muruhan_rathinam,Muruhan Rathinam,UMBC,UMBC,umbc,,19,28,0,2934,Professor at UMBC specializing in Systems Biology.,"Systems Biology, Mathematical Modeling",Other,na
muthu_kumaran_gnanamani,Muthu Kumaran Gnanamani,University of Kentucky,University of Kentucky,university_of_kentucky,,32,63,0,3207,Professor at University of Kentucky specializing in Cancer Biology.,"Cancer Biology, Drug Discovery",Medical Sciences,na
dr._nahar_singh,Dr. Nahar Singh,CSIR-National Physical Laboratory,"Chief Scientist , CSIR-NPL, New Delhi-India","chief_scientist_,_csir-npl,_new_delhi-india",,33,54,0,3969,Professor at CSIR-National Physical Laboratory specializing in Metrology.,"Metrology, Nanotechnology",Other,na
prashant_r._nair,Prashant R. Nair,Amrita Vishwa Vidyapeetham,cs,cs,,9,9,0,401,Professor at Amrita Vishwa Vidyapeetham specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
saranya_nallapareddy,Saranya Nallapareddy,University of California,PhD student,phd_student,,5,3,0,434,Professor at University of California specializing in Santa Barbara.,"Santa Barbara, Wireless Communication",Other,na
narayanan_rengaswamy,Narayanan Rengaswamy,The University of Arizona,cs,cs,,12,12,0,379,Professor at The University of Arizona specializing in Quantum Computing.,"Quantum Computing, Error Correction Codes",Physics,na
narayanan_srinivasan,Narayanan Srinivasan,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,indian_institute_of_technology_kanpur,,46,100,0,6291,Professor at Indian Institute of Technology Kanpur specializing in Cognitive Science.,"Cognitive Science, Visual Perception",Other,iit
partha_s.bhattacharjee,Partha S.Bhattacharjee,Xavier University of Louisiana,Xavier University of Louisiana,xavier_university_of_louisiana,,22,38,0,1806,Professor at Xavier University of Louisiana specializing in Environmental Chemistry.,"Environmental Chemistry, Analytical Chemistry",Other,na
monisha_pasupathi,Monisha Pasupathi,University of Utah,University of Utah,university_of_utah,,56,96,0,16600,Professor at University of Utah specializing in Narrative Identity.,"Narrative Identity, Social Interaction",Other,na
prabhu_rajagopal,Prabhu Rajagopal,Indian Institute of Technology Madras,mechanical,mechanical,,27,61,0,2596,Professor at Indian Institute of Technology Madras specializing in Non-Destructive Testing.,"Non-Destructive Testing, Structural Health Monitoring",Medical Sciences,iit
radhika_srinivasan,Radhika Srinivasan,PGIMER,"PGIMER, Chandigarh","pgimer,_chandigarh",,49,231,0,9094,Professor at PGIMER specializing in Pathology.,"Pathology, Molecular Diagnostics",Medical Sciences,na
chemical,Raghunathan Rengaswamy,Indian Institute of Technology Madras,chemical,chemical,,48,142,0,15805,Professor at Indian Institute of Technology Madras specializing in Process Systems Engineering.,"Process Systems Engineering, Energy and Sustainability",Computer Science,iit
rajagopalan_srinivasan,Rajagopalan Srinivasan,Indian Institute of Technology Madras,Indian Institute of Technology Madras,indian_institute_of_technology_madras,,52,143,0,7813,Professor at Indian Institute of Technology Madras specializing in Process Systems Engineering.,"Process Systems Engineering, Process Safety",Other,iit
dr._krishan_kumar,Dr. Krishan Kumar,Rajiv Gandhi University,"Department of Food Technology, Rajiv Gandhi University, Rono Hills, Doimukh, Arunachal Pradesh","department_of_food_technology,_rajiv_gandhi_university,_rono_hills,_doimukh,_arunachal_pradesh",,21,30,0,1907,Professor at Rajiv Gandhi University specializing in Food Technology.,"Food Technology, Nutritional Sciences",Other,na
karthik_rajendran,Karthik Rajendran,SRM University-AP,Associate Professor SRM University-AP,associate_professor_srm_university-ap,,42,71,0,5997,Professor at SRM University-AP specializing in Bioenergy.,"Bioenergy, Environmental Biotechnology",Other,na
ramesh_hariharan,Ramesh Hariharan,Mott MacDonald,Mott MacDonald,mott_macdonald,,1,1,0,10,Professor at Mott MacDonald specializing in Water Resources Management.,"Water Resources Management, Environmental Engineering",Business Management,na
"ranjit_nair,_md","Ranjit Nair, MD",UT MD Anderson Cancer Center,medicine,medicine,,23,49,0,2379,Professor at UT MD Anderson Cancer Center specializing in Cancer Biology.,"Cancer Biology, Precision Medicine",Medical Sciences,na
ravi_jain,Ravi Jain,Google,Google,google,,45,108,0,9455,Professor at Google specializing in Quantum Computing.,"Quantum Computing, Distributed Systems",Physics,na
chemical,Vinu Ravikrishnan,Indian Institute of Technology Madras,chemical,chemical,,50,123,0,7862,Professor at Indian Institute of Technology Madras specializing in Chemical Engineering.,"Chemical Engineering, Process Systems Engineering",Chemical Engineering,iit
sampath_rajagopalan,Sampath Rajagopalan,University of Southern California,University of Southern California,university_of_southern_california,,28,38,0,3332,Professor at University of Southern California specializing in Operations Management.,"Operations Management, Supply Chain Management",Business Management,na
sandeep_neema,Sandeep Neema,Vanderbilt University,"Research Professor, Vanderbilt University","research_professor,_vanderbilt_university",,34,98,0,10414,Professor at Vanderbilt University specializing in Model-Based Design.,"Model-Based Design, Cyber-Physical Systems",Other,na
sanghamitra_bandyopadhyay,Sanghamitra Bandyopadhyay,Indian Statistical Institute,cs,cs,,64,221,0,21383,Professor at Indian Statistical Institute specializing in Machine Learning.,"Machine Learning, Pattern Recognition",Computer Science,na
dr.saravanan_subramanian,Dr.Saravanan Subramanian,College Librarian,College Librarian,college_librarian,,60,319,0,15994,Professor at College Librarian specializing in Information Management.,"Information Management, Digital Libraries",Business Management,na
saravanan_vijayakumar,Saravanan vijayakumar,National Centre for Disease Informatics and Research (NCDIR),"Scientist NCDIR, ICMR","scientist_ncdir,_icmr",,15,19,0,757,Professor at National Centre for Disease Informatics and Research (NCDIR) specializing in ICMR.,"ICMR, Non-communicable Diseases",Computer Science,na
satyajit_mayor,Satyajit Mayor,National Centre for Biological Sciences TIFR,National Centre for Biological Sciences TIFR,national_centre_for_biological_sciences_tifr,,73,127,0,25325,Professor at National Centre for Biological Sciences TIFR specializing in Cell Biology.,"Cell Biology, Membrane Dynamics",Other,na
senthilkumar_balakrishnan,Senthilkumar Balakrishnan,Tamil Nadu State Council for Science and Technology,Tamil Nadu State Council for Science  and Technology,tamil_nadu_state_council_for_science__and_technology,,37,69,0,26735,Professor at Tamil Nadu State Council for Science and Technology specializing in Environmental Science.,"Environmental Science, Renewable Energy",Other,na
shankar_subramaniam,Shankar Subramaniam,University of California San Diego,University of California San Diego,university_of_california_san_diego,,93,280,0,59156,Professor at University of California San Diego specializing in Bioinformatics.,"Bioinformatics, Systems Biology",Computer Science,na
sharath_nittur_sridhar,Sharath Nittur Sridhar,Intel Corporation,"Research Scientist, Intel Corporation","research_scientist,_intel_corporation",,6,5,0,932,Professor at Intel Corporation specializing in Artificial Intelligence.,"Artificial Intelligence, Edge Computing",Computer Science,na
muthusamy_sivakumar,Muthusamy Sivakumar,Periyar Maniammai Institute of Science & Technology,"Professor of Practice, Biotechnology, Periyar Maniammai Institute of Science & Tech, Thanjavur","professor_of_practice,_biotechnology,_periyar_maniammai_institute_of_science_&_tech,_thanjavur",,31,69,0,3903,Professor at Periyar Maniammai Institute of Science & Technology specializing in Biotechnology.,"Biotechnology, Genetic Engineering",Computer Science,na
sobha_vijayan_nair,Sobha Vijayan Nair,Amrita Viswa Vidhyapeetham,"Associate Professor, Amrita Viswa Vidhyapeetham","associate_professor,_amrita_viswa_vidhyapeetham",,9,9,0,348,Professor at Amrita Viswa Vidhyapeetham specializing in Bioinformatics.,"Bioinformatics, Computational Biology",Computer Science,na
sreekumar_narayanan,sreekumar narayanan,Botho University,"Botho University, Gaborone, Botswana","botho_university,_gaborone,_botswana",,5,2,0,64,Professor at Botho University specializing in Data Science.,"Data Science, Artificial Intelligence",Computer Science,na
srinivas_chakravarthy,Srinivas Chakravarthy,Cytiva,"Senior Scientist, Cytiva","senior_scientist,_cytiva",,30,57,0,4084,Professor at Cytiva specializing in Bioprocessing.,"Bioprocessing, Biomanufacturing",Other,na
r_srinivasan,R Srinivasan,University of Texas at Arlington,texas,texas,,99,396,0,60466,Professor at University of Texas at Arlington specializing in Control Systems.,"Control Systems, Robotics",Mechanical Engineering,na
sudarshan_srinivasan,Sudarshan Srinivasan,Intel,Intel,intel,,15,16,0,1424,Professor at Intel specializing in Computer Architecture.,"Computer Architecture, Hardware Security",Other,na
mark_u_subbarao,Mark U SubbaRao,NASAs Scientific Visualization Studio,"NASAs Scientific Visualization Studio, Goddard Space Flight Center","nasas_scientific_visualization_studio,_goddard_space_flight_center",,53,68,0,61003,Professor at NASAs Scientific Visualization Studio specializing in Goddard Space Flight Center.,"Goddard Space Flight Center, Data Visualization",Other,na
prof._suresh_kumar_gupta,Prof. Suresh Kumar Gupta,DPSR University,Distinguished Professor& HOD Department of Clinical Research DPSR UNIVERSITY,distinguished_professor&_hod_department_of_clinical_research_dpsr_university,,69,311,0,19802,Professor at DPSR University specializing in Clinical Research.,"Clinical Research, Pharmacology",Medical Sciences,na
suresh_sethu,Suresh Sethu,NPR College of Engineering and Technology,Assistant Professor in NPR College of Engineering and Technology,assistant_professor_in_npr_college_of_engineering_and_technology,,2,0,0,14,Professor at NPR College of Engineering and Technology specializing in Signal Processing.,"Signal Processing, Wireless Communication",Electrical Engineering,na
swathi_v_iyer,swathi v iyer,Memorial Sloan Kettering Cancer Center,"Research Scholar, Memorial Sloan Kettering Cancer Center","research_scholar,_memorial_sloan_kettering_cancer_center",,11,11,0,872,Professor at Memorial Sloan Kettering Cancer Center specializing in Cancer Biology.,"Cancer Biology, Immunotherapy",Medical Sciences,na
chemical,Prof. Dr. Sayed Abdel Kader Ahmed,Beni Suef University,chemical,chemical,,56,302,0,18802,Professor at Beni Suef University specializing in Organic Chemistry.,"Organic Chemistry, Chemical Synthesis",Other,na
t.g._srinivasan,T.G. Srinivasan,Homi Bhabha National Institute,physics,physics,,46,141,0,6856,Professor at Homi Bhabha National Institute specializing in Nuclear Physics.,"Nuclear Physics, Condensed Matter Physics",Physics,na
assist._prof/dr.tamilselvan_mohan,Assist. Prof/Dr.Tamilselvan Mohan,Graz University of Technology,Graz University of Technology,graz_university_of_technology,,30,66,0,2358,Professor at Graz University of Technology specializing in Biomedical Engineering.,"Biomedical Engineering, Signal Processing",Medical Sciences,na
uma_maheswari_krishnan,Uma Maheswari Krishnan,SASTRA Deemed University,SASTRA DEEMED UNIVERSITY,sastra_deemed_university,,60,192,0,12409,Professor at SASTRA Deemed University specializing in Nanotechnology.,"Nanotechnology, Biomedical Engineering",Medical Sciences,na
k_unnikrishnan_nair,K Unnikrishnan Nair,IIM Kozhikode,"Professor - Organizational Behaviour, IIM Kozhikode; Former ICCR Rotating Chair Professor, FSU Jena","professor_-_organizational_behaviour,_iim_kozhikode;_former_iccr_rotating_chair_professor,_fsu_jena",,5,5,0,330,Professor at IIM Kozhikode specializing in Organizational Behaviour.,"Organizational Behaviour, Leadership",Computer Science,na
vijay_v_raghavan,Vijay V Raghavan,University of Louisiana at Lafayette,"Alfred and Helen Lamson Endowed Professor in Computer Science, University of Louisiana at Lafayette","alfred_and_helen_lamson_endowed_professor_in_computer_science,_university_of_louisiana_at_lafayette",,46,140,0,11551,Professor at University of Louisiana at Lafayette specializing in Data Mining.,"Data Mining, Information Retrieval",Computer Science,na
"vinod_kumar_gupta,_fwif,fnasc,_frsc","Vinod Kumar Gupta, FWIF,FNASc, FRSC",Professor Abdulazeez University,"Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher","professor_abdulazeez_university;_jedeha,_saudi_arabia;thomson_highly_cited_researcher",,202,907,0,141080,Professor at Professor Abdulazeez University specializing in Environmental Chemistry.,"Environmental Chemistry, Water Treatment",Other,na
"vinod_kumar_gupta,_fwif,fnasc,_frsc","Vinod Kumar Gupta, FWIF,FNASc, FRSC",Professor Abdulazeez University,"Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher","professor_abdulazeez_university;_jedeha,_saudi_arabia;thomson_highly_cited_researcher",,202,907,0,141080,Professor at Professor Abdulazeez University specializing in Environmental Chemistry.,"Environmental Chemistry, Water Treatment",Other,na
viswanathan_(vishy)_swaminathan,Viswanathan (Vishy) Swaminathan,Adobe Research,"Sr. Principal Scientist, Adobe Research","sr._principal_scientist,_adobe_research",,33,81,0,4066,Professor at Adobe Research specializing in Human-Computer Interaction.,"Human-Computer Interaction, Computational Social Science",Computer Science,na
vivek_kumar_garg,Vivek Kumar Garg,Chandigarh University,Chandigarh University,chandigarh_university,,35,93,0,4342,Professor at Chandigarh University specializing in Artificial Intelligence.,"Artificial Intelligence, Data Science",Computer Science,na
vivek_hari_sundar_gandhivel,Vivek Hari Sundar Gandhivel,Donald Danforth Plant Science Center,"Donald Danforth Plant Science Center, USA","donald_danforth_plant_science_center,_usa",,4,3,0,115,Professor at Donald Danforth Plant Science Center specializing in Plant Genomics.,"Plant Genomics, Crop Improvement",Other,na
dr._yuvaraj_t,Dr. Yuvaraj T,Chennai Institute of Technology,"Research Faculty, Centre for Smart Energy Systems, Chennai Institute of Technology, Chennai, India","research_faculty,_centre_for_smart_energy_systems,_chennai_institute_of_technology,_chennai,_india",,24,36,0,2306,Professor at Chennai Institute of Technology specializing in Smart Energy Systems.,"Smart Energy Systems, Renewable Energy Technologies",Computer Science,na
bodh_raj_mehta,Bodh Raj Mehta,Indian Institute of Technology Delhi,chemical,chemical,,46,189,0,9585,Professor at Indian Institute of Technology Delhi specializing in Chemical Engineering.,"Chemical Engineering, Process Systems Engineering",Chemical Engineering,iit
devang_khakhar,Devang Khakhar,Indian Institute of Technology Bombay,chemical,chemical,,46,109,0,7888,Professor at Indian Institute of Technology Bombay specializing in Chemical Engineering.,"Chemical Engineering, Polymer Science and Engineering",Chemical Engineering,iit
harpreet_singh,Harpreet Singh,Librarian,LIbrarian,librarian,,60,388,0,19432,Professor at Librarian specializing in Information Science.,"Information Science, Knowledge Management",Business Management,na
jhuma_sen_gupta,jhuma sen gupta,Researcher,Researcher,researcher,,4,3,0,81,Professor at Researcher specializing in Environmental Law.,"Environmental Law, Human Rights",Other,na
naveen_garg,Naveen Garg,IIT Delhi,"Computer Science and Engineering, IIT Delhi","computer_science_and_engineering,_iit_delhi",,34,54,0,7060,Professor at IIT Delhi specializing in Algorithms.,"Algorithms, Data Structures",Computer Science,na
prashant_k_jain,Prashant K Jain,University of Illinois Urbana-Champaign,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign","g._l._clark_professor_of_physical_chemistry,_university_of_illinois_urbana-champaign",,59,101,0,34710,Professor at University of Illinois Urbana-Champaign specializing in Nanomaterials.,"Nanomaterials, Optical Spectroscopy",Computer Science,na
pradipta_ghosh,Pradipta Ghosh,University of California,medicine,medicine,,52,121,0,23594,Professor at University of California specializing in medicle.,"medicle, cancer",Medical Sciences,na
rangan_banerjee,Rangan Banerjee,IIT Bombay,IIT Bombay,iit_bombay,,45,105,0,7495,Professor at IIT Bombay specializing in Energy Systems.,"Energy Systems, Renewable Energy Technologies",Other,na
saikat_bhattacharya,Saikat Bhattacharya,UT Southwestern Medical Center,UT Southwestern Medical Center,ut_southwestern_medical_center,,10,10,0,280,Professor at UT Southwestern Medical Center specializing in Cancer Biology.,"Cancer Biology, Cell Signaling",Medical Sciences,na
shalabh_bhatnagar,Shalabh Bhatnagar,Indian Institute of Science,"Professor in the Department of Computer Science and Automation, Indian Institute of Science","professor_in_the_department_of_computer_science_and_automation,_indian_institute_of_science",,37,102,0,7773,Professor at Indian Institute of Science specializing in Reinforcement Learning.,"Reinforcement Learning, Stochastic Optimization",Computer Science,na
shantanu_roy,Shantanu Roy,University of Chicago,chemical,chemical,,58,270,0,14261,Professor at University of Chicago specializing in Chemical Engineering.,"Chemical Engineering, Process Systems Engineering",Chemical Engineering,na
sudip_misra,Sudip Misra,Indian Institute of Technology Kharagpur,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur","facm,_fieee,_faaia,_fnae,_fnasc,_fiet,_inae_chair_professor,_iit_kharagpur",,66,349,0,19274,Professor at Indian Institute of Technology Kharagpur specializing in Internet of Things.,"Internet of Things, Wireless Sensor Networks",Computer Science,iit
sujay_guha,Sujay Guha,Stanford University,Stanford University,stanford_university,,8,8,0,345,Professor at Stanford University specializing in Biomedical Engineering.,"Biomedical Engineering, Nanotechnology",Medical Sciences,na
supriyo_bandyopadhyay,Supriyo Bandyopadhyay,Virginia Commonwealth University,"Virginia Commonwealth University, University of Nebraska, University of Notre Dame, Purdue","virginia_commonwealth_university,_university_of_nebraska,_university_of_notre_dame,_purdue",,53,177,0,10808,Professor at Virginia Commonwealth University specializing in Spintronics.,"Spintronics, Quantum Computing",Physics,na
tarun_kant,Tarun Kant,Indian Institute of Technology Bombay,civil,civil,,51,119,0,10071,Professor at Indian Institute of Technology Bombay specializing in Structural Mechanics.,"Structural Mechanics, Composite Materials",Other,iit
utpal_bora,Utpal Bora,Indian Institute of Technology Guwahati,"Professor, Indian Institute of Technology Guwahati","professor,_indian_institute_of_technology_guwahati",,42,83,0,8200,Professor at Indian Institute of Technology Guwahati specializing in Environmental Biotechnology.,"Environmental Biotechnology, Microbial Fuel Cells",Other,iit
"v_ramgopal_rao,_fellow_of_ieee,_twas,_insa,_inae,_iasc,_nasi","V Ramgopal Rao, Fellow of IEEE, TWAS, INSA, INAE, IASc, NASI",IIT Delhi,IIT Bombay/IIT Delhi,iit_bombay/iit_delhi,,50,202,0,9021,Professor at IIT Delhi specializing in Nanoelectronics.,"Nanoelectronics, MEMS/NEMS",Electrical Engineering,na
vijay_kumar_jain,Vijay Kumar Jain,Atal Bihari Vajpayee Institute of Medical Sciences,"Professor Orthopaedic surgery, Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar","professor_orthopaedic_surgery,_atal_bihari_vajpayee_institute_of_medical_sciences_&_dr._ram_manohar",,33,71,0,3836,Professor at Atal Bihari Vajpayee Institute of Medical Sciences specializing in Orthopaedic Surgery.,"Orthopaedic Surgery, Trauma Surgery",Medical Sciences,na
"vinod_kumar_gupta,_fwif,fnasc,_frsc","Vinod Kumar Gupta, FWIF,FNASc, FRSC",Professor Abdulazeez University,"Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher","professor_abdulazeez_university;_jedeha,_saudi_arabia;thomson_highly_cited_researcher",,202,907,0,141080,Professor at Professor Abdulazeez University specializing in Environmental Chemistry.,"Environmental Chemistry, Analytical Chemistry",Other,na
prasanna_mohan_viswanathan,Prasanna Mohan Viswanathan,Curtin University Malaysia,"Professor, Curtin University Malaysia","professor,_curtin_university_malaysia",,41,117,0,5624,Professor at Curtin University Malaysia specializing in Renewable Energy.,"Renewable Energy, Environmental Sustainability",Computer Science,na
yogesh_c._joshi,Yogesh C. Joshi,ARIES (Aryabhatta Research Institute of Observational Sciences),physics,physics,,35,56,0,4040,Professor at ARIES (Aryabhatta Research Institute of Observational Sciences) specializing in Astrophysics.,"Astrophysics, Solar Physics",Physics,na
advait_abhay_dixit,Advait Abhay Dixit,University of California,"University of California, Los Angeles","university_of_california,_los_angeles",,15,20,0,2635,Professor at University of California specializing in Los Angeles.,"Los Angeles, Systems Biology",Other,na
dr._ajay_kumar_gupta,Dr. Ajay Kumar Gupta,Ganpat University,Ganpat University,ganpat_university,,14,17,0,13528,Professor at Ganpat University specializing in Renewable Energy.,"Renewable Energy, Sustainable Development",Computer Science,na
